# provenance: env=4090-main-container sha=9596b43 cmd="REDUCE_N=268435456 ./build/reduce_bench (calfix hbm r1)" date=2026-08-29T09:00:44Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04
version,cpu_result,gpu_result,diff,latency_ms,speedup,correctness_pass
baseline,1.67772e+07,0.00000e+00,1.6777e+07,0.000000,-nan,false
v0,1.67772e+07,2.68435e+08,2.5166e+08,1.755494,0.00,false
v1,1.67772e+07,2.68435e+08,2.5166e+08,1.753918,0.00,false
v2,1.67772e+07,2.68435e+08,2.5166e+08,1.802868,0.00,false
v3,1.67772e+07,2.68435e+08,2.5166e+08,1.454288,0.00,false
v4,1.67772e+07,2.68435e+08,2.5166e+08,1.451284,0.00,false
v5,1.67772e+07,2.68435e+08,2.5166e+08,1.474069,0.00,false
v6,1.67772e+07,2.68435e+08,2.5166e+08,1.126362,0.00,false
v7,1.67772e+07,2.68435e+08,2.5166e+08,1.126438,0.00,false
cuBLAS,1.67772e+07,2.68435e+08,2.5166e+08,1.146321,0.00,false
CUB,1.67772e+07,2.68435e+08,2.5166e+08,1.128147,0.00,false
